,id,longitude,latitude,time,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare,snow_and_ice,label,Company,mine_id,orig_perm_id,start_date,end_date
578,20190724T161911_20190724T162524_T17SKA,-84.0221234695512,36.47968537280965,1563986003616,0.03053001151420176,0.7408088187221438,0.032799588749185205,0.030786497751250863,0.030743675539270043,0.035603986121714115,0.03086686972528696,0.034354070434346795,0.03332117781974375,1,DAVIS CREEK ENERGY LLC,0000000000000000000b,3217,2019-07-01,2019-07-31
579,20190729T161839_20190729T162825_T16SGF,-84.0221234695512,36.47968537280965,1564418008142,0.03207955602556467,0.7417021507862955,0.03477391810156405,0.03155155130662024,0.03134049568325281,0.03248530998826027,0.027962886029854417,0.03374029044061899,0.03424668312072754,1,DAVIS CREEK ENERGY LLC,0000000000000000000b,3217,2019-07-01,2019-07-31
580,20190729T161839_20190729T162825_T17SKA,-84.0221234695512,36.47968537280965,1564418006750,0.03230953589081764,0.7407300211489201,0.034416318871080875,0.03201945894397795,0.030861508334055543,0.03347175661474466,0.028131544589996338,0.033656258368864655,0.03426362783648074,1,DAVIS CREEK ENERGY LLC,0000000000000000000b,3217,2019-07-01,2019-07-31
589,20190729T161839_20190729T162825_T16SGF,-84.04907292807479,36.48148200337789,1564418008142,0.031097850063815713,0.7298700793180615,0.039100572699680924,0.028367490507662296,0.03382442728616297,0.035328120924532413,0.03290468454360962,0.035846248269081116,0.033505264669656754,1,DAVIS CREEK ENERGY LLC,0000000000000000000b,3217,2019-07-01,2019-07-31
590,20190729T161839_20190729T162825_T17SKA,-84.04907292807479,36.48148200337789,1564418006750,0.03080256376415491,0.7265106774866581,0.0398341566324234,0.028218627208843827,0.03353320085443556,0.037565083242952824,0.03339921333827078,0.03690554294735193,0.03309317026287317,1,DAVIS CREEK ENERGY LLC,0000000000000000000b,3217,2019-07-01,2019-07-31
599,20190729T161839_20190729T162825_T16SGF,-84.04727629750656,36.48148200337789,1564418008142,0.0316057822201401,0.7364287972450256,0.03603717335499823,0.02841891348361969,0.03228211426176131,0.034711346961557865,0.031087087700143456,0.03603138029575348,0.033315607346594334,1,DAVIS CREEK ENERGY LLC,0000000000000000000b,3217,2019-07-01,2019-07-31
600,20190729T161839_20190729T162825_T17SKA,-84.04727629750656,36.48148200337789,1564418006750,0.030658120522275567,0.7332894951105118,0.03863729629665613,0.027774387039244175,0.03360029519535601,0.034853635588660836,0.03239736333489418,0.035328120924532413,0.03336018417030573,1,DAVIS CREEK ENERGY LLC,0000000000000000000b,3217,2019-07-01,2019-07-31
609,20190729T161839_20190729T162825_T16SGF,-84.04547966693832,36.48148200337789,1564418008142,0.029977971920743585,0.7448330521583557,0.037111021811142564,0.027591594494879246,0.0324963117018342,0.032221827656030655,0.02969332248903811,0.03186673880554736,0.03387495968490839,1,DAVIS CREEK ENERGY LLC,0000000000000000000b,3217,2019-07-01,2019-07-31
610,20190729T161839_20190729T162825_T17SKA,-84.04547966693832,36.48148200337789,1564418006750,0.031167850829660892,0.7402835807297379,0.037046381272375584,0.028889002511277795,0.03186673880554736,0.0339592641685158,0.028977248817682266,0.034021154046058655,0.033549968153238297,1,DAVIS CREEK ENERGY LLC,0000000000000000000b,3217,2019-07-01,2019-07-31
619,20190729T161839_20190729T162825_T16SGF,-84.04368303637008,36.48148200337789,1564418008142,0.030952715314924717,0.7278899590019137,0.03856534603983164,0.028889002511277795,0.03183950576931238,0.036234414437785745,0.034984798170626163,0.03665387840010226,0.03386934311129153,1,DAVIS CREEK ENERGY LLC,0000000000000000000b,3217,2019-07-01,2019-07-31
