,id,longitude,latitude,time,water,trees,grass,flooded_vegetation,crops,shrub_and_scrub,built,bare,snow_and_ice,label,Company,mine_id,orig_perm_id,start_date,end_date
94,20230723T161831_20230723T162339_T17SKA,-83.93408857170749,36.50663483133324,1690130003177,0.02267704368568957,0.7415970249567181,0.04196946416050196,0.02509103179909289,0.053059592843055725,0.03191578760743141,0.024176225997507572,0.026796475052833557,0.029410030925646424,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
97,20230718T161839_20230718T162101_T16SGF,-83.93229194113925,36.50663483133324,1689698004549,0.030089035630226135,0.7545834037009627,0.03477960918098688,0.027774387039244175,0.03680594475008547,0.02655722200870514,0.024691411294043064,0.030364934355020523,0.034100004471838474,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
98,20230718T161839_20230718T162101_T17SKA,-83.93229194113925,36.50663483133324,1689698003767,0.029248014092445374,0.7501363570336252,0.034518301486968994,0.027551055885851383,0.04284298629499972,0.02648267545737326,0.025076531805098057,0.029070832766592503,0.033499678829684854,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
99,20230723T161831_20230723T162339_T16SGF,-83.93229194113925,36.50663483133324,1690130004573,0.025914632715284824,0.6987404832616448,0.04327359818853438,0.029164567589759827,0.058543972903862596,0.03529944666661322,0.033455008873716,0.02766260877251625,0.036917269229888916,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
100,20230723T161831_20230723T162339_T17SKA,-83.93229194113925,36.50663483133324,1690130003177,0.026816461235284805,0.7592829028144479,0.03233696916140616,0.0269966721534729,0.041371420957148075,0.026646816171705723,0.026472743833437562,0.02755612158216536,0.031060189940035343,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
103,20230718T161839_20230718T162101_T16SGF,-83.93049531057102,36.50663483133324,1689698004549,0.029086444759741426,0.7479177622590214,0.03529944666661322,0.026249774731695652,0.03592140064574778,0.030466057593002915,0.02687146165408194,0.033143153646960855,0.034699976444244385,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
104,20230718T161839_20230718T162101_T17SKA,-83.93049531057102,36.50663483133324,1689698003767,0.029378637904301286,0.7539208084344864,0.033561148680746555,0.026806467212736607,0.035425700480118394,0.02724292897619307,0.027177486568689346,0.031801399076357484,0.03445029631257057,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
105,20230723T161831_20230723T162339_T16SGF,-83.93049531057102,36.50663483133324,1690130004573,0.023802817100659013,0.7629037285223603,0.030888319946825504,0.026230000890791416,0.03722280636429787,0.024979972280561924,0.032265666872262955,0.027217749506235123,0.03347175661474466,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
106,20230723T161831_20230723T162339_T17SKA,-83.93049531057102,36.50663483133324,1690130003177,0.025207182625308633,0.7704390622675419,0.031130148330703378,0.024100364185869694,0.034241035813465714,0.02507169940508902,0.02930022869259119,0.028769824653863907,0.031486535677686334,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
109,20230718T161839_20230718T162101_T16SGF,-83.92869868000278,36.50663483133324,1689698004549,0.031103231944143772,0.7384467145893723,0.038979975739493966,0.029185418039560318,0.03875736240297556,0.031454053008928895,0.02478260756470263,0.03178507462143898,0.034535313257947564,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
110,20230718T161839_20230718T162101_T17SKA,-83.92869868000278,36.50663483133324,1689698003767,0.031038680113852024,0.7418598535005003,0.03535680682398379,0.02854767465032637,0.03323210612870753,0.03293236927129328,0.027358904480934143,0.03517914190888405,0.034359727054834366,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
111,20230723T161831_20230723T162339_T16SGF,-83.92869868000278,36.50663483133324,1690130004573,0.02508136467076838,0.7617846131324768,0.03296006564050913,0.027152337366715074,0.0351047704461962,0.02371344342827797,0.03108170721679926,0.027278199791908264,0.03504190221428871,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
112,20230723T161831_20230723T162339_T17SKA,-83.92869868000278,36.50663483133324,1690130003177,0.023671167204156518,0.7627171522472054,0.03509333566762507,0.0237886942923069,0.03271673712879419,0.026552248978987336,0.03374029044061899,0.0277642160654068,0.03325436287559569,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
115,20230718T161839_20230718T162101_T16SGF,-83.92690204943455,36.50663483133324,1689698004549,0.029201060766354203,0.7029559484217316,0.05036715045571327,0.027561187744140625,0.06233226601034403,0.03177419397979975,0.0264131932053715,0.027081981534138322,0.03415638208389282,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
116,20230718T161839_20230718T162101_T17SKA,-83.92690204943455,36.50663483133324,1689698003767,0.029462389880791306,0.7504535673651844,0.03742326144129038,0.026502544293180108,0.03837978490628302,0.029237576760351658,0.022525642067193985,0.030984938144683838,0.0346034022513777,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
117,20230723T161831_20230723T162339_T16SGF,-83.92690204943455,36.50663483133324,1690130004573,0.02322721853852272,0.7741400608792901,0.031801399076357484,0.022944372380152345,0.03676497284322977,0.025606055045500398,0.02663187333382666,0.026791479671373963,0.031519035110250115,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
118,20230723T161831_20230723T162339_T17SKA,-83.92690204943455,36.50663483133324,1690130003177,0.02456210576929152,0.7607461700681597,0.03507618699222803,0.025757663883268833,0.04087632987648249,0.024166736751794815,0.02893570438027382,0.026497576385736465,0.03222730592824519,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
121,20230718T161839_20230718T162101_T16SGF,-83.9251054188663,36.50663483133324,1689698004549,0.031205576146021485,0.5799365378916264,0.06471657752990723,0.03625184390693903,0.11993302404880524,0.0511440543923527,0.03441065759398043,0.030834708362817764,0.03669478837400675,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
122,20230718T161839_20230718T162101_T17SKA,-83.9251054188663,36.50663483133324,1689698003767,0.02803437621332705,0.7027768529951572,0.04693474713712931,0.028795711928978562,0.059403648832812905,0.03404367342591286,0.027799822622910142,0.028718085028231144,0.03504190221428871,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
123,20230723T161831_20230723T162339_T16SGF,-83.9251054188663,36.50663483133324,1690130004573,0.02668169909156859,0.751035293797031,0.03834392153657973,0.027525734389200807,0.041154451901093125,0.03028521896339953,0.023944275686517358,0.027779473224654794,0.03138913796283305,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
124,20230723T161831_20230723T162339_T17SKA,-83.9251054188663,36.50663483133324,1690130003177,0.024034082889556885,0.700374067761004,0.04826635215431452,0.027358904480934143,0.06583935022354126,0.03563854470849037,0.028049707412719727,0.026180598884820938,0.03237539529800415,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
127,20230718T161839_20230718T162101_T16SGF,-83.92330878829806,36.50663483133324,1689698004549,0.035127645591273904,0.43851006869226694,0.09639198170043528,0.03633905411697924,0.16877934709191322,0.09025836386717856,0.03787922323681414,0.03045007959008217,0.037211031652987,1,MOUNTAINSIDE COAL COMPANY,0000000000000000001b,3203,2023-07-01,2023-07-31
